simpleName,repList,,count,samID,newsamID,comments,latitude,longitude,uniqIDnowuseless,DisplayName
stjohns|stjuans,st. john's|st. juan's,,8,766|1819,766,|,47.56138889,-52.7125,766|1819,St. John's
stillwater,still water|stillwater,,6,767,767,,42.96666667,-73.68333333,767,Stillwater
stcloud,st. cloud,,6,768,768,,48.84,2.22,768,St. Cloud
stamford,stamford,,4,769,769,2 moved to 7015,52.656,-0.484,769,Stamford
staffordshire,stafford-shire|staffordshire,,6,770,770,,52.83333333,-2,770,Stafford-Shire
skiddaw|skiddaws,skiddaw|skiddaw!|skiddaw's,,10,772|1080,772,|,54.647,-3.146,772|1080,Skiddaw
sichem,sichem,,6,774,774,biblical place,NA,NA,774,Sichem
siberia,siberia,,6,775,775,,60,105,775,Siberia
shropshire,shropshire,,6,776,776,,52.61666667,-2.716666667,776,Shropshire
severn|severns,severn|severn's,,8,777|1862,777,|,52.49346389,-3.734577778,777|1862,Severn
selesia,selesia,,6,778,778,,51.6,17.2,778,Selesia
sedgewood,sedgewood,,6,779,779,unable to identify,NA,NA,779,Sedgewood
scarborough,scarborough,,6,780,780,,54.287,-0.388,780,Scarborough
savoy,savoy,,6,781,781,,45.07916667,7.676111111,781,Savoy
sauoy,sauoy,,6,782,782,,45.07916667,7.676111111,782,Sauoy
sapheta,sapheta,,6,783,783,unable to identify,NA,NA,783,Sapheta
samos,samos,,6,784,784,,37.75,26.83333333,784,Samos
salonichi,salonichi,,6,785,785,,40.65,22.9,785,Salonichi
salems,salem's,,6,786,786,short for jerusalem,31.78333333,35.21666667,786,Salem
sabine,sabine,,6,787,787,,29.98555556,-93.79055556,787,Sabine
ruederivoli,rue de rivoli,,6,788,788,,48.85691667,2.353672222,788,Rue De Rivoli
romagnecourts,romagne court's,,6,789,789,,44.75,11,789,Romagne Court
powis,powis,,6,790,790,,52.3,-3.416666667,790,Powis
pomfret,pomfret,,6,791,791,,53.69555556,-1.303888889,791,Pomfret
pointlevi,point levi,,6,792,792,,46.8,-71.18333333,792,Point Levi
pittsburg,pittsburg|pitts burg,,6,793,793,,40.43972222,-79.97638889,793,Pittsburg
pisa,pisa,,6,794,794,,43.71666667,10.4,794,Pisa
pembrook,pembrook,,6,796,796,,51.67603889,-4.9158,796,Pembrook
pegue,pegue,,6,797,797,,17.33333333,96.48333333,797,Pegue
palmyra,palmyra,,6,798,798,,34.55138889,38.26805556,798,Palmyra
palatinate,palatinate,,6,799,799,,49.43333333,7.766666667,799,Palatinate
ossa,ossa,,6,800,800,unable to identify,NA,NA,800,Ossa
oldengland,old england,,6,801,801,,51.5,-0.116666667,801,Old England
northamptonshire,northamptonshire|northampton shire,,6,802,802,,52.28333333,-0.833333333,802,Northamptonshire
northampton,northampton,,5,803,803,1 for MA deleted bc threshhold,52.230375,-0.893752778,803,Northampton
neuces,neuces,,6,805,805,,27.74,-97.52,805,Neuces
milford,milford|mil ford,,6,807,807,,51.71418056,-5.042738889,807,Milford
michigan,michigan,,6,808,808,,44,-85,808,Michigan
mesopotamia,mesopotamia,,6,809,809,,32.979,44.33580556,809,Mesopotamia
margate,margate,,6,810,810,,51.385,1.3838,810,Margate
mansfield,mansfield,,6,811,811,,51.59416667,11.45472222,811,Mansfield
madisoncounty,madison county,,6,812,812,,34.76583333,-86.55777778,812,Madison County
lycia,lycia,,6,813,813,,36.73333333,29.9,813,Lycia
lowcountries,low-countries|low countries,,6,814,814,,52.31666667,5.55,814,Low-Countries
lockets,lockets|locket's,,6,816,816,unable to identify,NA,NA,816,Locket
libia|libyas|lybia|lybias,libia|libya's|lybia|lybia's,,13,2120|817|1462|2099,817,|||,27,17,2120|817|1462|2099,Libia
lepanto,lepanto,,6,818,818,,38.25,21.25,818,Lepanto
lennox,lennox,,6,819,819,,55.974,-4.206,819,Lennox
